"ID"	"Species"	"MDim"	"Degree"	"GC_Aff"	"Fiedler"	"Mod_Aff"	"m6"
"Herb_CuevasReyes"	"Jatropha_standleyi"	1	1	11	-1	NA	NA
"Herb_CuevasReyes"	"Flacourticeae_sp."	1	1	12	-1	NA	NA
"Herb_CuevasReyes"	"Caesalpinia_caladenia"	1	1	13	-1	NA	NA
"Herb_CuevasReyes"	"Cynometra_oaxacana"	1	1	14	-1	NA	NA
"Herb_CuevasReyes"	"Lonchocarpus_eriocarinalis"	1	1	15	-1	NA	NA
"Herb_CuevasReyes"	"Lonchocarpus_sp."	1	1	16	-1	NA	NA
"Herb_CuevasReyes"	"Prosopis_sp."	1	1	17	-1	NA	NA
"Herb_CuevasReyes"	"Brosimum_alicastrum"	1	1	18	-1	NA	NA
"Herb_CuevasReyes"	"Ficus_cotinifolia"	1	1	19	-1	NA	NA
"Herb_CuevasReyes"	"Guapira_macrocarpa"	1	1	20	-1	NA	NA
"Herb_CuevasReyes"	"Coccoloba_barbadensis"	1	1	21	-1	NA	NA
"Herb_CuevasReyes"	"Guettarda_elliptica"	1	1	22	-1	NA	NA
"Herb_CuevasReyes"	"Randia_spinosa"	1	1	23	-1	NA	NA
"Herb_CuevasReyes"	"Paullinia_cururu"	1	1	24	-1	NA	NA
"Herb_CuevasReyes"	"Paullinia_sessiliflora"	1	1	25	-1	NA	NA
"Herb_CuevasReyes"	"Heliocarpus_pallidus"	1	1	26	-1	NA	NA
"Herb_CuevasReyes"	"Urera_caracasana"	1	1	27	-1	NA	NA
"Herb_CuevasReyes"	"Lippia_graveolens"	1	1	28	-1	NA	NA
"Herb_CuevasReyes"	"Vitex_hemsleyi"	1	1	29	-1	NA	NA
"Herb_CuevasReyes"	"Cecidomyiidae_sp._1"	2	1	1	1	NA	NA
"Herb_CuevasReyes"	"Psylloidea_sp._1"	2	1	2	1	NA	NA
"Herb_CuevasReyes"	"Psylloidea_sp._2"	2	1	3	1	NA	NA
"Herb_CuevasReyes"	"Neolasioptera_sp."	2	1	4	1	NA	NA
"Herb_CuevasReyes"	"Cecidomyiidae_sp._2"	2	1	5	1	NA	NA
"Herb_CuevasReyes"	"Cecidomyiidae_sp._3"	2	1	6	1	NA	NA
"Herb_CuevasReyes"	"Cecidomyiidae_sp._4"	2	1	7	1	NA	NA
"Herb_CuevasReyes"	"Cecidomyiidae_sp._5"	2	1	8	1	NA	NA
"Herb_CuevasReyes"	"Cecidomyiidae_sp._6"	2	1	9	1	NA	NA
"Herb_CuevasReyes"	"Aspondylia_sp."	2	1	10	1	NA	NA
"Herb_CuevasReyes"	"Cecidomyiidae_sp._7"	2	1	11	1	NA	NA
"Herb_CuevasReyes"	"Cecidomyiidae_sp._8"	2	1	12	1	NA	NA
"Herb_CuevasReyes"	"Cecidomyiidae_sp._9"	2	1	13	1	NA	NA
"Herb_CuevasReyes"	"Cecidomyiidae_sp._10"	2	1	14	1	NA	NA
"Herb_CuevasReyes"	"Euphalerus_sp._1"	2	1	15	1	NA	NA
"Herb_CuevasReyes"	"Euphalerus_sp._2"	2	1	16	1	NA	NA
"Herb_CuevasReyes"	"Tanaostigma_sp."	2	1	17	1	NA	NA
"Herb_CuevasReyes"	"Trioza_rusellae"	2	1	18	1	NA	NA
"Herb_CuevasReyes"	"Cecidomyiidae_sp._11"	2	1	19	1	NA	NA
"Herb_CuevasReyes"	"Unidentified"	2	1	20	1	NA	NA
"Herb_CuevasReyes"	"Ctenodactylomyia_sp."	2	1	21	1	NA	NA
"Herb_CuevasReyes"	"Cecidomyiidae_sp._12"	2	1	22	1	NA	NA
"Herb_CuevasReyes"	"Bruggamannia_randiae"	2	1	23	1	NA	NA
"Herb_CuevasReyes"	"Cecidomyiidae_sp._13"	2	1	24	1	NA	NA
"Herb_CuevasReyes"	"Cecidomyiidae_sp._14"	2	1	25	1	NA	NA
"Herb_CuevasReyes"	"Neolasioptera_heliocarpi"	2	1	26	1	NA	NA
