"ID" "NRow" "NCol" "NLinks" "Connectance" "NComp" "LargeCompSize" "nLargeComp" "SA_NMod" "SA_Modularity" "FG_NMod" "FG_Modularity" "FG_PNull" "MS_congr" "MS_mean" "MS_sd" "MS_pval" "n_m6" "n_m6_mod" "mean_m6_mod" "sd_m6_mod" "p_m6_mod" "n_m6_sect" "mean_m6_sect" "sd_m6_sect" "p_m6_sect" "n_m6_ms" "mean_m6_ms" "sd_m6_ms" "p_m6_ms"
"96" "comeau2006" 17 16 118 0.4338 1 33 1 4 0.218472 4 0.204503 0.05 0.881313131313131 0.849752904040404 0.0179777531000429 0.024 1104 99 17.109 9.922 0 893 553 153.647 0.01 47 5.58 4.14918758020863 0
"97" "depaola" 5 17 39 0.4588 1 22 1 3 0.291913 3 0.260026 0.42 1 0.631475 0.0732853107958553 0 88 13 2.751 2.114 0.003 14 8.781 4.846 0.13 13 3.07 2.20309699369691 0
"98" "doi" 11 9 41 0.4141 3 13 1 3 0.101852 3 0.052855 0.9 1 0.714566666666667 0.0611591493781901 0.003 176 1 0.562 0.496 0.562 27 24.981 8.059 0.397 1 0.58 0.496044963748858 0.58
"99" "DON" 45 46 273 0.1319 1 91 1 4 0.415758 3 0.408868 0 0.982954545454545 0.623534090909091 0.0510318372830342 0 1901 1166 94.552 47.445 0 1670 183.805 91.47 0 1060 69.4 34.8949361033455 0
"100" "duplessis" 12 12 37 0.2569 3 15 1 2 0.3 2 0.28 0 1 0.615794642857143 0.0826342516079078 0 70 36 6.215 3.947 0.001 36 6.371 4.077 0 36 6.6 3.83761289440099 0
"101" "ESKI" 14 13 52 0.2857 1 27 1 5 0.329142 5 0.268861 0.99 0.95 0.816364285714286 0.0242567173648231 0.002 89 11 0.344 0.813 0 64 34.897 23.726 0.166 11 0.34 0.855404683011013 0
"102" "FARIA" 14 8 35 0.3125 1 22 1 5 0.374694 4 0.353878 0.14 0.966666666666667 0.76116 0.0517695861061411 0 40 6 0.231 0.581 0 8 8.423 7.432 0.454 3 0.13 0.441645225322889 0.01
"103" "gamage" 4 5 9 0.45 2 7 1 3 0.21875 3 0.148438 1 1 0.792666666666667 0.121677738879408 0.19 2 0 0 0 1 0 0.3 0.458 1 0 0 0 1
"104" "goodridge" 49 2 60 0.6122 1 51 1 2 0.316667 2 0.299861 0.84 1 0.613773387096774 0.0212070751390111 0 55 0 0 0 1 0 0 0 1 0 0 0 1
"105" "GOR" 84 18 235 0.1554 1 102 1 3 0.459756 4 0.443323 0 0.977777777777778 0.560415177304964 0.0292330071652391 0 1260 479 51.069 37.436 0 1113 153.301 61.001 0 463 46.92 34.6406312490597 0
"106" "hansen" 17 10 111 0.6529 1 27 1 3 0.161513 2 0.142196 0 0.851851851851852 0.821295156695157 0.0278392159074338 0.126 1517 225 64.665 23.908 0 1412 702.642 151.949 0.001 196 53.84 23.019850897726 0
"107" "Herb_Basset&Sam" 10 36 94 0.2611 1 46 1 5 0.367927 5 0.329448 0.64 0.981818181818182 0.749294172494173 0.0250373125734304 0 297 48 2.153 2.412 0 211 94.073 44.241 0.009 38 2.12 2.4382474249039 0
"108" "Herb_Bluthgen2006" 38 12 54 0.1184 4 43 1 6 0.5296 5 0.5188 0.76 0.925925925925926 0.698259722222222 0.0424162740103766 0 13 1 0.022 0.183 0.018 2 1.694 2.125 0.347 0 0 0 1
"109" "Herb_Bodner2009" 45 59 76 0.0286 28 19 1 4 0.574074 4 0.564815 0.46 1 0.724541666666667 0.0496795390303184 0 0 0 0 0 1 0 0 0 1 0 0 0 1
"110" "Herb_Coley2006" 37 45 83 0.0498 9 61 1 8 0.705714 8 0.697347 0 0.96875 0.764624219877345 0.0178888652917422 0 11 9 0.013 0.113 0 11 3.484 2.249 0.002 9 0.01 0.1 0
"111" "Herb_CuevasReyes" 29 29 29 0.0345 29 2 29 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"112" "Herb_Dawah1995" 10 17 19 0.1118 8 8 1 3 0.367347 3 0.357143 0.82 1 0.700416666666667 0.136668309559858 0.026 0 0 0 0 1 0 0 0 1 0 0 0 1
